"id","materia","topico","colegio","ano","versao","questao","alt_a","alt_b","alt_c","alt_d","alt_e","gabarito"
"9307391a-e821-46ac-8603-d4821c1d53e6","Matemática","II - As 4 Operações","Colégio Militar de Manaus",2024,NA,"O pai de Ana quer vender 4 potes iguais e de mesma massa (peso), além de 9 garrafas também iguais e de mesma massa (peso), que estão sem uso na sua oficina. Ele, porém, precisou viajar e deixou os potes e as garrafas sobre uma mesa na oficina. No dia seguinte, o pai de Ana avisou a ela, por meio de ligação telefônica, que o vizinho compraria as garrafas e potes da seguinte maneira: a cada 100 gramas da massa total das garrafas o comprador pagaria R$ 0,50 e a cada 100 gramas da massa total dos potes pagaria R$ 0,20. Para saber a massa das garrafas e dos potes, Ana distribuiu todos esses itens em uma balança, conforme a figura abaixo.

  ![](1761332797_Captura de tela 2025-10-24 160140.png){width=300px} 

Sabendo que a balança está em equilíbrio, o valor que o pai de Ana receberá pela venda é de:","R$ 52,00","R$ 64,00","R$ 36,00","R$ 44,00","R$ 80,00","a"
"afaf10b1-876d-4d68-9e4c-ee9246d9e4c3","Matemática","II - As 4 Operações","Colégio Militar de Manaus",2024,NA,"Todos os estudantes do Colégio Militar de Manaus realizaram o simulado do seu respectivo ano escolar. Notou-se que ao tentar distribuir a quantidade total de estudantes em salas com28alunos, sempre sobravam 3. O mesmo acontecia quando se tentava distribuir em salas com 24 e 32 alunos. Sabendo que a quantidade de alunos do colégio é inferior a 1.000, pode-se afirmar que:","a quantidade de alunos do colégio é 485.","a quantidade de alunos do colégio é 672.","a quantidade de alunos do colégio é 675.","a quantidade de alunos do colégio é 824.","a quantidade de alunos do colégio é 827.","c"
"e8dcc7c8-dc28-41e7-af7a-d7411f3b4d8c","Matemática","II - As 4 Operações","Colégio Militar de Manaus",2024,NA,"O pai de Luiz pediu-lhe para transportar caixas com laranjas e tangerinas para o caminhão da família. As frutas foram armazenadas em 5 caixas e numeradas conforme a figura abaixo. Cada umadas5caixascontém laranjas ou tangerinas, mas não ambas as frutas. Todas as tangerinas, juntas, pesam o triplo de todas as laranjas juntas. As caixas que contêm laranjas são:  ![](1761333029_Captura de tela 2025-10-24 160948.png){width=300px} ","1 e 2","2 e 3","1 e 4","2 e 4","3 e 5","c"
"642f8485-4cc3-4628-a895-bcb339d29b1a","Matemática","II - As 4 Operações","Colégio Militar de Manaus",2024,NA,"Os amigos Sampaio e Rabelo gostam muito de amendoins. Sampaio comprou 100g de amendoim tradicional. Ele come a mesma quantidade, em gramas, de amendoins a cada segundo. Ao final de40minutosele terminou de comer todos os amendoins tradicionais que comprou. Rabelo, por sua vez, comprou120gdeamendoim doce, comendo a mesma quantidade, em gramas, de amendoins a cada segundo. Ao final de  2 horas, ele terminou de comer todos os seus amendoins doces. Considere que eles começaram a comer ao mesmo tempo. Com base nessa situação, conclui-se que:","em 15 minutos Sampaio comeu 45 g de amendoins.","quando Sampaio terminou de comer os amendoins, Rabelo ainda tinha 45 g de amendoins.","ao final de 60 minutos, Rabelo ainda tinha 50 g de amendoins.","a cada minuto, Sampaio comia 2 g de amendoim; Rabelo comia 1 g de amendoim por minuto.","ao final de 26 minutos, Sampaio consumiu 65 g de amendoim; Rabelo consumiu 26 g de amendoim.","e"
"ef40ccf1-8010-4409-a830-77acdc765f70","Matemática","II - As 4 Operações","Colégio Militar de Manaus",2024,NA,"Amanda preparou uma receita, ensinada por sua avó, utilizando ingredientes conforme a figura abaixo. Porém, a quantidade de ingredientes na receita era diferente dos que Amanda possuía. Ela tinha apenas6ovos,400 g de farinha, meio litro de leite e 200 g de manteiga. Com base na receita de sua avó e na quantidade de ingredientes que Amanda possui, a maior quantidade de panquecas que ela pode fazer é:  ![](1761341922_Captura de tela 2025-10-24 183733.png){width=300px} ","15","12","10","8","6","d"
"81a7e301-961c-4778-a68a-cdfad262bc19","Matemática","VI - Medidas Geométricas","Colégio Militar de Manaus",2024,NA,"Cristiane costuma aplicar os conteúdos da disciplina de matemática, que ela tanto gosta, em situações do seu cotidiano. Certo dia, ela comprou um tablete de doce de leite no formato de um paralelepípedo retângulo e mediu as dimensões de comprimento, largura e altura desse doce, encontrando em milímetros os valores que aparecem na figura abaixo. Cristiane resolveu dividir o tablete de doce de leite em cubos iguais, de maior aresta possível, para que ela pudesse saborear o doce por mais tempo e para que não houvesse sobras. Para isso, continuou considerando os milímetros como unidade de medida. Sabendo que Cristiane comeu dois cubos de doce de leite por dia, a quantidade de dias que ela levou para comer todo o tablete foi de:
  ![](1761342027_Captura de tela 2025-10-24 184008.png){width=300px} ","22 dias","30 dias","46 dias","72 dias","128 dias","d"
"c1211044-c9e4-4fe5-9613-68c6ba62596c","Matemática","VI - Medidas Geométricas","Colégio Militar de Manaus",2024,NA,"Pedro comprou um balde para aguar as plantas de seu sítio. A capacidade do balde é de 0,0056 kl e ele deseja aguar as suas 16 plantas. Para isso, ele enche o balde, inicialmente vazio, e vai, de planta em planta, jogando exatamente 1.600 cm³ em cada uma. Toda vez que o líquido não é suficiente para aguar uma planta, Pedro retorna e completa a capacidade do balde. Ele faz isso até que tenha aguado todas as plantas. Sobre a situação narrada, é correto afirmar que:","o volume de água que sobra no balde após aguar todas as plantas é maior que $\dfrac{6}{7}$ de sua capacidade","o total de água gasto para aguar todas as plantas não ultrapassa 30 litros.","É necessário encher o balde somente 5 vezes para aguar todas as plantas.","O volume de água que sobra no balde após aguar todas as plantas é menor que 10%do total de água gasto.","O volume de água que Pedro gasta para aguar cada planta corresponde a 30%da capacidade do balde","b"
"38d7ff6f-c7dc-47af-a224-78e02a5464f8","Matemática","VII - Tratamento da Informação","Colégio Militar de Manaus",2024,NA,"Para incentivar seus alunos, Alcenir, professor de Geografia do CMM, prometeu presentear o estudante que obtivesse as melhores notas do trimestre com um globo terrestre. Acontece que cinco alunos empataram na nota final. Sabendo que isso poderia acontecer, o professor preparou uma roleta com 8 opções de bandeiras de estados brasileiros, conforme a figura abaixo. Cada estudante deveria rodar a roleta uma única vez. Ganharia o presente quem repetisse a bandeira já sorteada em uma das rodadas anteriores, desclassificando os demais. Para que nenhum aluno fosse prejudicado por rodar a roleta pela primeira vez, Alcenir realizou a rodada inicial, sorteando a bandeira do Amazonas. Sabendo que Laura foi a segunda estudante a rodar a roleta, a fração que representa a probabilidade de essa aluna ganhar o globo terrestre é de:  ![](1761342369_Captura de tela 2025-10-24 184600.png){width=300px} ","$\dfrac{1}{5}$","$\dfrac{2}{5}$","$\dfrac{3}{8}$","$\dfrac{7}{32}$","$\dfrac{8}{9}$","d"
"0c517dc1-ce72-4282-8bf0-70720f6d34d5","Matemática","VI - Medidas Geométricas","Colégio Militar de Manaus",2024,NA,"Ronildo, professor de física, realizou uma avaliação para as cinco turmas do segundo ano do Ensino Médio. Suas turmas são identificadas por numerações de 201 a 205. A fim de verificar o desempenho de seus alunos nessa avaliação, Ronildo calculou a média das notas de todos os 150 estudantes que estavam matriculados em suas turmas, encontrando o valor de 6,38. No entanto, ao acessar o sistema para lançar as notas, Ronildo percebeu que cada turma havia recebido, após a realização da prova, a matrícula de dois novos alunos. Cada estudante novato trouxe, de seu antigo Colégio, notas referentes a essa avaliação. O professor observou que essas notas já haviam sido lançadas no sistema, conforme a tabela abaixo.
  ![](1761342502_Captura de tela 2025-10-24 184808.png){width=300px} 
Sabendo que o professor Ronildo terá que calcular uma nova média para as notas dos seus alunos, incluindo os novatos, a diferença entre a média de notas após a chegada dos estudantes novatos e a média obtida antes da chegada dos novos alunos é:","0,07","7,64","1,26","0,38","0,96","a"
"26be4682-6ca3-428d-97ba-2ec15df093a2","Matemática","II - As 4 Operações","Colégio Militar de Manaus",2024,NA,"O treinador do time de futsal do Colégio Militar de Manaus promoveu um amistoso entre professores e alunos. Em um jogo de futsal, cada time tem sempre 5 jogadores em campo. Para essa partida amistosa, o treinador conta com 12 alunos e, para não ser injusto, realizou várias substituições de modo que cada um dos alunos jogou a mesma quantidade de tempo. Sabendo que uma partida de futsal tem duração de 40 minutos, o tempo que cada aluno jogou na partida foi:","20 minutos.","16 minutos e 20 segundos","16 minutos e 40 segundos.","18 minutos e 10 segundos.","18 minutos e 30 segundos.","c"
